episod,outcome,reward_total,time_s,kills,damage_taken,buff_count,boss_reached,boss_hp_min,level,hp_remaining,gems,camera_maxima,scene_path
172,fail,-508.1,8.1,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
173,fail,-540.0,40.0,1,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
174,fail,-522.7,22.7,8,6,0,0,-1,1,0,2,A1 Goblini,res://Levels/Area01/01.tscn
175,fail,-514.4,14.4,4,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
176,fail,-514.8,14.8,8,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
177,fail,-529.9,29.9,9,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
178,fail,-511.2,11.2,1,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
179,fail,-546.5,46.5,8,7,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
180,fail,-524.8,24.8,1,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
181,fail,-507.3,7.3,6,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
182,fail,-518.6,18.6,5,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
183,fail,-614.1,114.1,3,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
184,fail,-517.5,17.5,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
185,fail,-509.6,9.6,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
186,fail,-541.1,41.1,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
187,fail,-662.9,162.9,7,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
188,fail,-756.7,256.7,6,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
189,fail,-507.6,7.6,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
190,fail,-505.8,5.8,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
191,fail,-512.1,12.1,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
192,fail,-517.4,17.4,4,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
193,fail,-546.7,46.7,7,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
194,fail,-514.9,14.9,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
195,fail,-513.7,13.7,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
196,fail,-512.9,12.9,0,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
197,fail,-531.6,31.6,2,6,0,0,-1,1,0,0,A1 Goblini,res://Levels/Area01/01.tscn
